Uniprot_A	Uniprot_B	Gene_A	Gene_B	ORF_A	ORF_B	Alias_A	Alias_B	pmid:method:quality
Q9ERE3	Q9ERE3	SGK3	SGK3			MGI:2182368	MGI:2182368	15126499:0114:LC
Q9ERE7	Q9ERE7	MESD	MESD			MGI:1891421	MGI:1891421	21397184:0028:LC|PDB_3OFH:0114:LC|21397184:0071:LC|21397184:0114:LC
Q9ERI2	Q9ERI2	RAB27A	RAB27A			MGI:1861441	MGI:1861441	18940603:0114:LC
Q9ERR1	Q9ERR1	NDEL1	NDEL1			MGI:1932915	MGI:1932915	17997972:0028:LC|17997972:0114:LC|31889000:0114:LC|17997972:0016:LC
Q9ERS2	Q9Z1P6	NDUFA13	NDUFA7			MGI:1914434	MGI:1913666	29915388:0114:LC|33514727:0114:LC|33067417:0114:LC|33990335:0114:LC
Q9ES00	Q9ES00	UBE4B	UBE4B			MGI:1927086	MGI:1927086	23509263:0415:LC|11435423:0415:LC
Q9ES28	Q9ES28	ARHGEF7	ARHGEF7			MGI:1860493	MGI:1860493	16307729:0114:LC
Q9ES28	Q9JLQ2	ARHGEF7	GIT2			MGI:1860493	MGI:1347053	15102471:0018:LC|32780989:0114:LC
Q9ES89	Q9ES89	EXTL2	EXTL2			MGI:1889574	MGI:1889574	12562774:0114:LC
Q9ESJ0	Q9ESJ0	XPO4	XPO4			MGI:1888526	MGI:1888526	27306458:0114:LC
Q9ESN4	Q9ESN4	C1QL3	C1QL3			MGI:2387350	MGI:2387350	25752542:0067:LC|25752542:0114:LC|25752542:0071:LC|PDB_5YBZ:0114:LC
Q9ESN9	Q9ESN9	MAPK8IP3	MAPK8IP3			MGI:1353598	MGI:1353598	30197037:0114:LC
Q9EST8	Q9WTK5	NFKBIZ	NFKB2			MGI:1931595	MGI:1099800	20211142:0018:HT|20211142:0397:HT
Q9ESY9	Q9ESY9	IFI30	IFI30			MGI:2137648	MGI:2137648	PDB_6NWX:0114:LC
Q9ET38	Q9ET38	CLDN19	CLDN19			MGI:3033992	MGI:3033992	25678664:0114:LC
Q9ET47	Q9ET47	ESPN	ESPN			MGI:1861630	MGI:1861630	26785147:0114:LC
Q9JHD2	Q9JHD2	KAT2A	KAT2A			MGI:1343101	MGI:1343101	32820047:0114:LC
Q9JHE6	Q9JLC6	HES6	TEF			MGI:1859852	MGI:98663	20211142:0018:HT|20211142:0397:HT
Q9JHF9	Q9QUK6	LY96	TLR4			MGI:1341909	MGI:96824	21857663:0071:LC|22532668:0114:LC|22532668:0071:LC|17803912:0071:LC|17803912:0114:LC
Q9JHN9	Q9JHN9	Q9JHN9	Q9JHN9					12096910:0114:LC
Q9JHW2	Q9JHW2	NIT2	NIT2			MGI:1261838	MGI:1261838	19053248:0114:LC
Q9JI78	Q9JI78	NGLY1	NGLY1			MGI:1913276	MGI:1913276	17088551:0114:LC
Q9JI78	Q9R049	NGLY1	AMFR			MGI:1913276	MGI:1345634	16709668:0096:LC|16709668:0007:LC|11562482:0018:LC|16709668:0018:LC
Q9JI90	Q9WTL8	RNF14	ARNTL			MGI:1929668	MGI:1096381	20211142:0018:HT|20211142:0397:HT
Q9JI90	S4R299	RNF14	ZFP236			MGI:1929668	MGI:1926950	20211142:0018:HT|20211142:0397:HT
Q9JIF7	Q9QZE5	COPB1	COPG1			MGI:1917599	MGI:1858696	26160949:0114:LC|28621666:0114:LC
Q9JIL4	Q9JIL4	PDZK1	PDZK1			MGI:1928901	MGI:1928901	20739281:0114:LC|PDB_4R2Z:0114:LC|21602281:0114:LC
Q9JIP7	Q9JIP7	SLC15A1	SLC15A1			MGI:1861376	MGI:1861376	26320580:0114:LC
Q9JIP9	Q9JIP9	KLRA12	KLRA12			MGI:1321091	MGI:1321091	19818651:0114:LC
Q9JIW4	Q9JIW4	POLM	POLM			MGI:1860191	MGI:1860191	17159995:0114:LC
Q9JJ11	Q9JJ11	TACC3	TACC3			MGI:1341163	MGI:1341163	15234987:0028:LC|25627682:0114:LC
Q9JJ94	Q9JJ94	SSNA1	SSNA1	MNCB-2711	MNCB-2711	MGI:1915725	MGI:1915725	11591653:0018:HT|11591653:0397:HT
Q9JJP2	Q9JJP2	TP73	TP73			MGI:1336991	MGI:1336991	20211142:0018:HT|20211142:0397:HT
Q9JJV2	Q9JJV2	PFN2	PFN2			MGI:97550	MGI:97550	18001770:0114:LC
Q9JJX7	Q9JJX7	TDP2	TDP2			MGI:1860486	MGI:1860486	27060144:0114:LC|28912134:0114:LC|24808172:0114:LC|27099339:0114:LC|23104055:0114:LC
Q9JK30	Q9WUJ8	ORC3	ORC6			MGI:1354944	MGI:1929285	12614612:0004:HT|12614612:0018:HT|12614612:0019:HT
Q9JK30	Q9WUV0	ORC3	ORC5			MGI:1354944	MGI:1347044	12614612:0018:HT
